Transaction ID,Amount,User ID,Service,Service Type,Payment_Status,Reason,Date
RCG_IEVGEVPYLHRCK,1701.53,PP8352863,Recharge_Bills,Mobile Recharge ,Success,Success,22-07-2026
RCG_DO0JP94ZHMK3O,1451.87,PP5644462,Recharge_Bills,Cable TV ,Success,Success,22-07-2026
RCG_QJ1P93TOAEQMQ,1975.99,PP9439146,Recharge_Bills,FASTag Recharge ,Success,Success,22-07-2026
RCG_ETILEH04ZK2T4,108.71,PP7161392,Recharge_Bills,FASTag Recharge ,Success,Success,22-07-2026
RCG_Y5R1S8OBKSSFY,453.56,PP1893401,Recharge_Bills,DTH,Success,Success,22-07-2026
RCG_SP80NA4TF7LSH,784.71,PP9219506,Recharge_Bills,Cable TV,Success,Success,22-07-2026
RCG_80UCRZB9J3B13,1772.06,PP7278342,Recharge_Bills,FASTag Recharge ,Failed,Insufficient Balance,22-07-2026
RCG_0J3ME0K0VEGHI,1611.87,PP5419136,Recharge_Bills,DTH ,Success,Success,22-07-2026
RCG_N6Y2G9Z82H52K,366.45,PP4282967,Recharge_Bills,Mobile Recharge ,Success,Success,22-07-2026
RCG_J9XMNYKUESBL6,933.56,PP6475093,Recharge_Bills,DTH ,Success,Success,22-07-2026
RCG_NLMCO07TQ62M3,180.89,PP1446052,Recharge_Bills,Cable TV,Failed,Network Error,22-07-2026
RCG_4UEFMESBZF4GE,910.93,PP5451858,Recharge_Bills,Cable TV,Success,Success,22-07-2026
RCG_Q4UTVX45SUGAL,1611.38,PP3481969,Recharge_Bills,nan ,Success,Success,22-07-2026
RCG_MOTDB1PWM2FIY,179.14,PP3624842,Recharge_Bills,FASTag Recharge ,Success,Success,22-07-2026
RCG_KZOCTNAEZJA73,1372.69,PP3152712,Recharge_Bills,Cable TV,Failed,Server Error,22-07-2026
RCG_PKXNZAW660M0S,596.66,PP2175223,Recharge_Bills,DTH ,Success,Success,22-07-2026
RCG_UK0IXF0F71920,1867.32,PP2380706,Recharge_Bills,Mobile Recharge ,Success,Success,22-07-2026
RCG_O72FWYWXQ76NX,40.72,PP2999540,Recharge_Bills,FASTag Recharge ,Success,Success,22-07-2026
